window,phase,policy,remote,local,batch_ms,cost_units,reconfigured
49,steady,phase_oracle,0,8,582.632685827361,2889.8581217037104,0
50,steady,one_shot_stable,0,8,586.3658779600775,2908.374754681984,0
50,steady,change_aware,0,8,586.3658779600775,2908.374754681984,0
50,steady,phase_oracle,0,8,586.3658779600775,2908.374754681984,0
51,steady,one_shot_stable,0,8,588.6797477673372,2919.8515489259926,0
51,steady,change_aware,0,8,588.6797477673372,2919.8515489259926,0
51,steady,phase_oracle,0,8,588.6797477673372,2919.8515489259926,0
52,steady,one_shot_stable,0,8,581.3978979391644,2883.7335737782555,0
52,steady,change_aware,0,8,581.3978979391644,2883.7335737782555,0
52,steady,phase_oracle,0,8,581.3978979391644,2883.7335737782555,0
53,steady,one_shot_stable,0,8,583.458395060554,2893.953639500348,0
53,steady,change_aware,0,8,583.458395060554,2893.953639500348,0
53,steady,phase_oracle,0,8,583.458395060554,2893.953639500348,0
54,steady,one_shot_stable,0,8,587.7501245723017,2915.2406178786164,0
54,steady,change_aware,0,8,587.7501245723017,2915.2406178786164,0
54,steady,phase_oracle,0,8,587.7501245723017,2915.2406178786164,0
55,steady,one_shot_stable,0,8,581.2574782692732,2883.037092215595,0
55,steady,change_aware,0,8,581.2574782692732,2883.037092215595,0
55,steady,phase_oracle,0,8,581.2574782692732,2883.037092215595,0
56,steady,one_shot_stable,0,8,582.7045083920989,2890.2143616248104,0
56,steady,change_aware,0,8,582.7045083920989,2890.2143616248104,0
56,steady,phase_oracle,0,8,582.7045083920989,2890.2143616248104,0
57,steady,one_shot_stable,0,8,581.94266830171,2886.4356347764815,0
57,steady,change_aware,0,8,581.94266830171,2886.4356347764815,0
57,steady,phase_oracle,0,8,581.94266830171,2886.4356347764815,0
58,steady,one_shot_stable,0,8,578.5409631217263,2869.5631770837626,0
58,steady,change_aware,0,8,578.5409631217263,2869.5631770837626,0
58,steady,phase_oracle,0,8,578.5409631217263,2869.5631770837626,0
59,steady,one_shot_stable,0,8,577.4144974309899,2863.97590725771,0
59,steady,change_aware,0,8,577.4144974309899,2863.97590725771,0
59,steady,phase_oracle,0,8,577.4144974309899,2863.97590725771,0
60,steady,one_shot_stable,0,8,586.2804326348582,2907.9509458688967,0
60,steady,change_aware,0,8,586.2804326348582,2907.9509458688967,0
60,steady,phase_oracle,0,8,586.2804326348582,2907.9509458688967,0
61,steady,one_shot_stable,0,8,587.3420109678499,2913.2163744005356,0
61,steady,change_aware,0,8,587.3420109678499,2913.2163744005356,0
61,steady,phase_oracle,0,8,587.3420109678499,2913.2163744005356,0
62,steady,one_shot_stable,0,8,583.9976629104463,2896.628408035813,0
62,steady,change_aware,0,8,583.9976629104463,2896.628408035813,0
62,steady,phase_oracle,0,8,583.9976629104463,2896.628408035813,0
63,steady,one_shot_stable,0,8,586.0179745972255,2906.6491540022384,0
63,steady,change_aware,0,8,586.0179745972255,2906.6491540022384,0
63,steady,phase_oracle,0,8,586.0179745972255,2906.6491540022384,0
64,steady,one_shot_stable,0,8,584.6280346519541,2899.755051873692,0
64,steady,change_aware,0,8,584.6280346519541,2899.755051873692,0
64,steady,phase_oracle,0,8,584.6280346519541,2899.755051873692,0
65,steady,one_shot_stable,0,8,583.3372508902108,2893.3527644154456,0
65,steady,change_aware,0,8,583.3372508902108,2893.3527644154456,0
65,steady,phase_oracle,0,8,583.3372508902108,2893.3527644154456,0
66,steady,one_shot_stable,0,8,585.9740979359884,2906.4315257625026,0
66,steady,change_aware,0,8,585.9740979359884,2906.4315257625026,0
66,steady,phase_oracle,0,8,585.9740979359884,2906.4315257625026,0
67,steady,one_shot_stable,0,8,584.8497323049394,2900.8546722324995,0
67,steady,change_aware,0,8,584.8497323049394,2900.8546722324995,0
67,steady,phase_oracle,0,8,584.8497323049394,2900.8546722324995,0
68,steady,one_shot_stable,0,8,581.5947609924067,2884.710014522337,0
68,steady,change_aware,0,8,581.5947609924067,2884.710014522337,0
68,steady,phase_oracle,0,8,581.5947609924067,2884.710014522337,0
69,steady,one_shot_stable,0,8,587.6443281539827,2914.715867643754,0
69,steady,change_aware,0,8,587.6443281539827,2914.715867643754,0
69,steady,phase_oracle,0,8,587.6443281539827,2914.715867643754,0
70,steady,one_shot_stable,0,8,585.1338546296003,2902.263918962817,0
70,steady,change_aware,0,8,585.1338546296003,2902.263918962817,0
70,steady,phase_oracle,0,8,585.1338546296003,2902.263918962817,0
71,steady,one_shot_stable,0,8,571.364829120335,2833.9695524368617,0
71,steady,change_aware,0,8,571.364829120335,2833.9695524368617,0
71,steady,phase_oracle,0,8,571.364829120335,2833.9695524368617,0
